date,log_price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,sqft_basement,house_age,isRenovated,city,statezip
2014-05-13,13.86,4,3,4400,16625,2,0,0,0,11,Not Renovated,Sammamish,WA 98075
2014-05-13,12.77,3,2,2010,14298,2,0,0,0,37,Older Renovation,Vashon,WA 98070
2014-05-13,13.29,4,2,2710,38180,2,0,0,0,37,Not Renovated,Woodinville,WA 98077
2014-05-13,14.75,4,2,5300,26211,2,1,2,730,91,Not Renovated,Seattle,WA 98105
2014-05-13,13.48,3,1,1310,3880,1,0,0,220,58,Older Renovation,Seattle,WA 98117
2014-05-13,12.32,4,1,1950,12559,1,0,0,0,75,Older Renovation,SeaTac,WA 98188
2014-05-13,12.32,3,1,1040,6535,1,0,0,0,67,Recently Renovated,Seattle,WA 98168
2014-05-13,12.75,3,1,1090,7200,1,0,0,0,46,Older Renovation,Kirkland,WA 98034
2014-05-13,12.35,2,0,650,5360,1,0,0,0,83,Not Renovated,Seattle,WA 98133
2014-05-13,12.86,3,2,1480,6600,1,0,2,740,71,Older Renovation,Seattle,WA 98146
2014-05-13,11.41,2,1,790,2640,1,0,0,0,41,Recently Renovated,Kirkland,WA 98034
2014-05-13,13.66,4,2,3560,11119,1,0,2,1270,28,Not Renovated,Bellevue,WA 98004
2014-05-13,13.42,4,2,3000,5548,2,0,0,0,8,Not Renovated,Newcastle,WA 98056
2014-05-13,13.79,4,2,3490,7494,2,0,3,0,14,Not Renovated,Bellevue,WA 98006
2014-05-13,13.57,3,1,2340,10495,1,0,0,0,47,Not Renovated,Mercer Island,WA 98040
2014-05-13,12.82,3,1,1650,8254,1,0,0,590,63,Not Renovated,Shoreline,WA 98155
2014-05-13,13.41,3,2,1940,5820,1,0,0,790,70,Not Renovated,Seattle,WA 98107
2014-05-13,13.42,5,3,3410,9600,1,0,0,1540,46,Not Renovated,Redmond,WA 98052
2014-05-13,13.34,3,1,1710,4050,1,0,0,0,105,Older Renovation,Seattle,WA 98103
2014-05-13,13.92,4,1,2740,4000,2,0,0,810,109,Not Renovated,Seattle,WA 98109
2014-05-13,13.02,3,2,1250,892,2,0,0,210,4,Not Renovated,Seattle,WA 98116
2014-05-13,13.02,3,2,2450,42180,1,0,0,0,36,Older Renovation,Covington,WA 98042
2014-05-13,13.18,3,1,1690,8190,1,0,0,0,56,Older Renovation,Bellevue,WA 98005
2014-05-13,13.36,4,1,1950,13320,1,0,0,580,45,Not Renovated,Bellevue,WA 98007
2014-05-13,13.27,5,2,2290,7125,1,0,0,1100,50,Older Renovation,Bellevue,WA 98008
2014-05-13,14.25,5,3,3370,17458,1,0,2,1370,32,Not Renovated,Mercer Island,WA 98040
2014-05-13,12.56,3,1,1090,8640,1,0,0,0,41,Not Renovated,Burien,WA 98166
2014-05-13,12.83,3,1,1190,9486,1,0,0,0,61,Older Renovation,Normandy Park,WA 98166
2014-05-13,14.15,5,4,3530,7924,2,0,0,0,13,Not Renovated,Mercer Island,WA 98040
2014-05-13,13.24,3,1,1440,5000,2,0,0,0,104,Older Renovation,Seattle,WA 98103
2014-05-13,12.91,4,1,2180,13529,1,0,0,1090,58,Older Renovation,Lake Forest Park,WA 98155
2014-05-13,12.93,4,1,1410,6000,1,0,0,600,89,Older Renovation,Seattle,WA 98126
2014-05-13,12.57,3,2,1950,8251,2,0,0,0,24,Recently Renovated,Auburn,WA 98001
2014-05-13,14.33,5,3,4860,23723,2,0,2,1040,25,Not Renovated,Mercer Island,WA 98040
2014-05-13,12.32,3,1,1660,7210,1,0,0,560,51,Older Renovation,Auburn,WA 98001
2014-05-13,12.67,3,1,1390,12823,1,0,0,0,46,Not Renovated,Woodinville,WA 98077
2014-05-13,12.68,3,2,1350,14200,1,0,0,0,25,Not Renovated,Duvall,WA 98019
2014-05-13,13.25,3,2,1530,5401,1,0,0,0,77,Not Renovated,Seattle,WA 98115
2014-05-13,13.05,3,1,1270,5112,1,0,0,0,64,Older Renovation,Seattle,WA 98115
2014-05-13,12.98,4,2,2140,6355,2,0,0,0,12,Not Renovated,Snoqualmie,WA 98065
2014-05-13,13.13,4,2,2040,5616,2,0,0,0,2,Older Renovation,Kenmore,WA 98028
2014-05-13,13.17,3,3,2876,5086,2,0,0,516,7,Not Renovated,Woodinville,WA 98072
2014-05-13,13.17,3,2,1580,1161,2,0,0,570,6,Not Renovated,Seattle,WA 98112
2014-05-13,13.40,4,3,3400,5196,2,0,0,0,2,Older Renovation,Snoqualmie,WA 98065
2014-05-13,13.68,4,2,3520,6773,2,0,0,870,8,Not Renovated,Seattle,WA 98136
2014-05-13,13.38,4,2,2210,4861,2,0,0,0,1,Older Renovation,Seattle,WA 98117
2014-05-13,13.13,4,2,2790,5602,2,0,0,0,5,Not Renovated,Renton,WA 98059
2014-05-13,12.71,3,2,1450,5008,1,0,0,610,7,Not Renovated,Seattle,WA 98106
2014-05-14,12.86,4,1,1620,4980,1,0,0,760,67,Older Renovation,Seattle,WA 98133
2014-05-14,12.63,3,1,1220,1086,3,0,0,0,7,Not Renovated,Seattle,WA 98133
2014-05-14,13.21,3,1,2000,5000,1,0,0,890,93,Not Renovated,Seattle,WA 98117
2014-05-14,13.74,4,2,2190,7350,2,0,0,0,56,Not Renovated,Mercer Island,WA 98040
2014-05-14,13.20,4,1,1900,8250,1,0,0,950,59,Recently Renovated,Bellevue,WA 98006
2014-05-14,13.59,3,1,1700,4400,1,0,0,0,108,Older Renovation,Seattle,WA 98122
2014-05-14,13.34,5,2,2540,3832,2,0,0,780,85,Not Renovated,Seattle,WA 98117
2014-05-14,12.07,2,1,1170,8925,1,0,2,0,103,Older Renovation,Des Moines,WA 98198
2014-05-14,13.51,5,5,5774,31675,1,0,2,1284,30,Not Renovated,Federal Way,WA 98003
2014-05-14,12.75,3,2,2120,15003,2,0,0,0,30,Not Renovated,Renton,WA 98059
2014-05-14,13.14,3,1,2170,26460,1,0,0,720,28,Not Renovated,Sammamish,WA 98074
2014-05-14,13.18,4,2,2450,15002,1,0,0,0,40,Not Renovated,Normandy Park,WA 98166
2014-05-14,11.95,2,1,700,5200,1,0,0,0,62,Older Renovation,Renton,WA 98056
2014-05-14,12.49,3,2,1780,7214,1,0,0,380,28,Not Renovated,Kent,WA 98030
2014-05-14,12.46,3,2,1850,8250,1,0,0,700,62,Not Renovated,Auburn,WA 98002
2014-05-14,12.49,3,2,1570,5706,1,0,0,0,16,Older Renovation,Auburn,WA 98092
2014-05-14,12.83,3,1,1290,5500,1,0,0,310,63,Older Renovation,Seattle,WA 98136
2014-05-14,12.73,5,2,1700,7314,1,0,0,700,58,Older Renovation,Seattle,WA 98108
2014-05-14,13.28,2,1,1159,4800,1,0,0,0,66,Older Renovation,Seattle,WA 98199
2014-05-14,13.10,3,2,1850,9600,1,0,0,0,49,Not Renovated,Kirkland,WA 98034
2014-05-14,12.91,2,1,840,3522,1,0,0,0,67,Recently Renovated,Seattle,WA 98199
2014-05-14,12.83,3,2,1690,1618,2,0,0,540,0,Not Renovated,Issaquah,WA 98029
2014-05-14,12.64,3,1,1050,9876,1,0,0,0,61,Not Renovated,Kenmore,WA 98028
2014-05-14,13.20,3,1,1400,3825,1,0,0,300,110,Not Renovated,Seattle,WA 98117
2014-05-14,14.15,3,2,2550,7200,2,0,2,0,33,Recently Renovated,Seattle,WA 98144
2014-05-14,12.67,3,2,1840,5011,2,0,0,0,2,Older Renovation,Maple Valley,WA 98038
2014-05-14,13.46,3,1,2360,6750,2,0,0,430,88,Not Renovated,Seattle,WA 98103
2014-05-14,13.24,4,2,2240,14667,2,0,0,0,25,Not Renovated,Newcastle,WA 98059
2014-05-14,13.49,4,2,2700,4004,2,0,0,0,10,Older Renovation,Issaquah,WA 98029
2014-05-14,13.55,3,2,3030,30007,1,0,0,0,22,Not Renovated,Woodinville,WA 98077
2014-05-14,13.43,3,1,1830,5120,1,0,2,0,111,Not Renovated,Seattle,WA 98122
2014-05-14,12.69,3,2,2220,6049,2,0,0,0,24,Not Renovated,Kent,WA 98031
2014-05-14,13.20,3,2,2090,7640,1,0,0,730,52,Recently Renovated,Shoreline,WA 98133
2014-05-14,13.17,3,1,1600,6120,1,0,0,0,90,Recently Renovated,Seattle,WA 98115
2014-05-14,12.80,4,1,2010,8625,1,0,0,670,57,Older Renovation,Shoreline,WA 98133
2014-05-14,12.89,2,1,830,4000,1,0,0,0,59,Older Renovation,Seattle,WA 98117
2014-05-14,12.66,4,2,2010,7226,2,0,0,0,19,Not Renovated,Auburn,WA 98092
2014-05-14,12.74,3,1,1050,5402,1,0,0,0,108,Older Renovation,Seattle,WA 98144
2014-05-14,13.09,4,2,2150,39449,1,0,0,730,36,Not Renovated,Fall City,WA 98024
2014-05-14,11.98,3,1,860,11900,1,0,0,0,51,Not Renovated,Kent,WA 98030
2014-05-14,13.74,3,2,3100,20553,1,0,0,0,60,Older Renovation,Shoreline,WA 98177
2014-05-14,11.84,3,1,1100,17334,1,0,0,0,36,Not Renovated,Auburn,WA 98001
2014-05-14,13.24,3,1,1830,8000,1,0,0,0,57,Older Renovation,Bellevue,WA 98008
2014-05-14,12.61,2,1,1250,34395,1,0,0,0,64,Older Renovation,Federal Way,WA 98003
2014-05-14,13.14,3,2,1820,4883,2,0,0,0,9,Not Renovated,Kenmore,WA 98028
2014-05-14,13.12,3,2,2090,42689,1,0,0,0,55,Older Renovation,Ravensdale,WA 98051
2014-05-14,12.78,3,3,2100,12384,2,0,0,0,34,Not Renovated,Tukwila,WA 98168
2014-05-14,13.06,4,2,2310,14023,2,0,0,0,23,Not Renovated,Duvall,WA 98019
2014-05-14,13.48,4,2,2060,5649,1,0,0,700,73,Not Renovated,Seattle,WA 98199
2014-05-14,13.93,4,2,4470,60373,2,0,0,0,26,Older Renovation,Woodinville,WA 98072
2014-05-14,13.03,3,1,1660,7500,1,0,0,600,74,Older Renovation,Seattle,WA 98125
2014-05-14,13.78,5,4,3810,8019,2,0,0,0,6,Not Renovated,Sammamish,WA 98075
2014-05-14,12.63,3,1,2110,10200,2,0,0,0,48,Not Renovated,Renton,WA 98059
2014-05-14,13.20,2,2,2370,217800,1,0,0,770,22,Not Renovated,Issaquah,WA 98027
2014-05-14,12.74,3,2,1970,3716,2,0,0,0,17,Not Renovated,Renton,WA 98056
2014-05-14,13.36,4,2,2470,33305,2,0,0,0,21,Not Renovated,Redmond,WA 98053
2014-05-14,12.64,3,1,1480,7830,1,0,0,0,62,Older Renovation,Shoreline,WA 98133
2014-05-14,12.77,5,3,2257,10117,1,0,0,894,9,Not Renovated,SeaTac,WA 98188
2014-05-14,12.50,2,1,700,6000,1,0,0,0,65,Older Renovation,Shoreline,WA 98155
2014-05-14,12.36,4,2,1630,9010,1,0,0,580,39,Not Renovated,Auburn,WA 98092
2014-05-14,13.51,4,2,3430,10157,2,0,0,0,14,Not Renovated,Kirkland,WA 98034
2014-05-14,13.32,5,1,2220,6000,1,0,0,800,91,Older Renovation,Seattle,WA 98199
2014-05-14,12.31,3,1,1340,7473,1,0,0,0,41,Not Renovated,Auburn,WA 98002
2014-05-14,12.90,2,1,980,2130,1,0,0,120,96,Older Renovation,Seattle,WA 98117
2014-05-14,13.59,3,2,2580,13096,2,0,0,0,28,Not Renovated,Redmond,WA 98052
2014-05-14,12.44,4,2,2230,4541,2,0,0,0,8,Not Renovated,Covington,WA 98042
2014-05-14,13.87,4,2,2290,11137,1,0,0,0,59,Recently Renovated,Bellevue,WA 98004
2014-05-14,12.61,3,1,1260,8280,1,0,0,0,68,Not Renovated,Seattle,WA 98115
2014-05-14,13.35,4,2,1680,11180,1,0,0,0,48,Not Renovated,Redmond,WA 98052
2014-05-14,13.47,4,3,3200,7081,2,0,0,0,10,Older Renovation,Sammamish,WA 98075
2014-05-14,13.76,4,2,3320,7644,2,0,0,0,19,Not Renovated,Bellevue,WA 98006
2014-05-14,12.95,4,2,3040,24123,2,0,0,0,15,Not Renovated,Auburn,WA 98092
2014-05-14,13.12,4,2,2270,7375,1,0,0,980,41,Not Renovated,Kirkland,WA 98034
2014-05-14,13.02,3,2,2910,17172,2,0,0,0,25,Not Renovated,Federal Way,WA 98003
2014-05-14,13.77,5,2,2510,9887,2,0,0,0,42,Older Renovation,Mercer Island,WA 98040
2014-05-14,12.28,2,1,1240,7200,1,0,0,0,47,Recently Renovated,Tukwila,WA 98168
2014-05-14,12.99,3,2,2580,5200,2,0,0,0,6,Not Renovated,Renton,WA 98059
2014-05-14,13.56,3,2,2470,3600,2,0,0,0,7,Not Renovated,Issaquah,WA 98029
2014-05-14,14.02,4,3,4910,9444,1,0,0,1800,7,Not Renovated,Sammamish,WA 98074
2014-05-15,12.46,3,2,1690,5025,2,0,0,0,11,Not Renovated,Federal Way,WA 98023
2014-05-15,13.29,4,2,2240,12032,1,0,0,0,31,Recently Renovated,Sammamish,WA 98074
2014-05-15,12.44,3,2,1650,7352,1,0,0,490,35,Recently Renovated,Renton,WA 98058
2014-05-15,12.82,4,2,2710,5880,2,0,0,0,16,Older Renovation,Auburn,WA 98092
2014-05-15,13.05,3,1,1260,10350,1,0,0,0,55,Older Renovation,Bellevue,WA 98008
2014-05-15,12.13,3,1,1150,8100,1,0,0,0,82,Not Renovated,Seattle,WA 98168
2014-05-15,13.28,4,2,2550,7636,1,0,0,1110,28,Not Renovated,Sammamish,WA 98074
2014-05-15,12.41,3,1,1490,6930,1,0,0,0,24,Not Renovated,Kent,WA 98030
2014-05-15,12.62,4,1,2020,7865,1,0,0,1010,51,Not Renovated,Renton,WA 98059
2014-05-15,13.02,2,1,1320,4520,1,0,1,0,102,Older Renovation,Seattle,WA 98116
2014-05-15,12.43,3,1,1230,10350,1,0,0,0,57,Older Renovation,Renton,WA 98055
2014-05-15,12.45,4,2,2070,7800,2,0,0,0,25,Not Renovated,Federal Way,WA 98003
2014-05-15,13.64,4,1,2930,11562,1,0,3,1260,67,Recently Renovated,Seattle,WA 98117
2014-05-15,12.15,3,1,1090,8520,1,0,0,0,47,Recently Renovated,Federal Way,WA 98003
2014-05-15,12.77,3,1,1400,7066,1,0,0,0,57,Older Renovation,Seattle,WA 98125
2014-05-15,13.33,4,2,1550,4815,1,0,0,0,105,Older Renovation,Seattle,WA 98103
2014-05-15,12.61,3,1,1220,13000,1,0,0,0,59,Recently Renovated,Shoreline,WA 98133
2014-05-15,13.03,3,2,1870,7344,1,0,0,400,34,Not Renovated,Kirkland,WA 98034
2014-05-15,12.72,3,2,2150,30476,2,0,0,0,23,Not Renovated,Tukwila,WA 98188
2014-05-15,12.19,3,1,980,3090,1,0,0,0,111,Older Renovation,Seattle,WA 98118
2014-05-15,12.93,3,1,1490,8475,1,0,0,0,51,Not Renovated,Redmond,WA 98052
2014-05-15,12.89,3,1,1120,7000,1,0,0,0,59,Older Renovation,Bellevue,WA 98007
2014-05-15,12.74,3,2,1180,9630,2,0,0,0,28,Not Renovated,Kenmore,WA 98028
2014-05-15,13.53,4,2,3240,20301,2,0,0,0,29,Not Renovated,Redmond,WA 98052
2014-05-15,12.67,4,2,2150,6807,2,0,0,0,23,Not Renovated,Kent,WA 98031
2014-05-15,12.87,3,2,2240,10800,2,0,0,0,18,Not Renovated,Kenmore,WA 98028
2014-05-15,12.32,3,2,1400,7384,1,0,0,250,35,Recently Renovated,Renton,WA 98058
2014-05-15,13.22,3,2,1980,40887,1,0,0,0,34,Not Renovated,Redmond,WA 98053
2014-05-15,12.54,3,1,1330,20562,1,0,0,0,55,Older Renovation,North Bend,WA 98045
2014-05-15,14.04,4,2,3200,7535,2,0,0,0,8,Not Renovated,Seattle,WA 98105
2014-05-15,13.26,2,1,1490,6000,1,0,0,400,68,Not Renovated,Seattle,WA 98112
2014-05-15,13.82,5,4,3920,16258,2,0,0,1020,24,Recently Renovated,Bellevue,WA 98004
2014-05-15,13.28,5,1,2000,3750,2,0,0,0,93,Not Renovated,Seattle,WA 98103
2014-05-15,13.34,4,2,2680,9185,2,0,0,0,25,Not Renovated,Issaquah,WA 98029
